FF,stat,n,mle,stderr,mean,low,high,group
Sage 2.2.1,MUE,364,0.21501895580025895,0.011487198561489841,0.21560646394951247,0.1942779871830366,0.24080473147531853,a11
Sage 2.2.1,R2,364,0.8223289411117549,0.031722446390830876,0.8241760263071289,0.7558980161870211,0.878144608399621,a11
Sage 2.2.1,rho,364,0.9068235446390627,0.01716330404075963,0.9068481221871403,0.8708134319657788,0.9353546870624849,a11
smee-v2,RMSE,364,0.3324093550169218,0.03086957766775168,0.32959911152936366,0.27208028799785716,0.39408905326148214,a11
smee-v2,MUE,364,0.2198448653841826,0.012981040356440552,0.22008721317114183,0.19706520182649992,0.24730144691015019,a11
smee-v2,R2,364,0.8007820133756592,0.034836313433748135,0.801968064230194,0.7308079157110069,0.8643316401784918,a11
smee-v2,rho,364,0.8948642429864205,0.018153965710104355,0.8953661390838428,0.8592977561101913,0.9289611244744653,a11
v1-k100,RMSE,364,0.3160657624831493,0.033042201649948214,0.3138835786293664,0.25800223768311525,0.3879785515127789,a11
v1-k100,MUE,364,0.21114394026370484,0.012207207053591006,0.21161213054333333,0.18921469797801024,0.23618863986770058,a11
v1-k100,R2,364,0.83032331774027,0.03294556852667509,0.8310561231796801,0.7633706889372206,0.8870561645416493,a11
v1-k100,rho,364,0.9112207842999791,0.016782464202038147,0.9118531901337321,0.8768478288396622,0.9408030421990654,a11
v3-k100,RMSE,364,0.3111107462545474,0.031173607664703566,0.30926331331254575,0.25449400125923555,0.37121437062886553,a11
v3-k100,MUE,364,0.20950932736978747,0.012080413686269775,0.20951997900072392,0.18798224913578054,0.23482741018925854,a11
v3-k100,R2,364,0.8353795368493001,0.028453814871248262,0.8381295335272235,0.7769210847757324,0.889279785291203,a11
v3-k100,rho,364,0.9139909938556834,0.016312922113176788,0.914757409334832,0.8804922186096477,0.9422869327947103,a11
Sage 2.0.0,RMSE,69,0.7081194775286782,0.08564375244943305,0.7038071538058903,0.5384228126963332,0.8764885376861403,a14
Sage 2.0.0,MUE,69,0.49783991271958367,0.06046266792865998,0.4981208819787571,0.3859600796392273,0.6214143584836708,a14
Sage 2.0.0,R2,69,0.41831717532900264,0.08130476458326737,0.42793416542381696,0.2710516419120728,0.5903068567854615,a14
Sage 2.0.0,rho,69,0.6467744392978145,0.06119276599122606,0.647183351268746,0.5231491224764148,0.7695210411629204,a14
Sage 2.2.1,RMSE,69,0.6644212718517025,0.08403184980323579,0.6565721064578236,0.5079297071575921,0.8333756088130712,a14
Sage 2.2.1,MUE,69,0.4622424525271565,0.058762877487074476,0.462780175834218,0.3562057778762483,0.5909442625342702,a14
Sage 2.2.1,R2,69,0.4390354572241268,0.08987190615224659,0.4460873120952945,0.2732080320782919,0.629777671412086,a14
Sage 2.2.1,rho,69,0.6625975077104704,0.06540197962844667,0.6619010481982105,0.5240982515188389,0.7840628291099844,a14
smee-v2,RMSE,69,0.6798961709162405,0.08560441759652512,0.673118530814904,0.5035932911957998,0.8467848120997846,a14
smee-v2,MUE,69,0.4761158021170485,0.057116043029209106,0.47780405772588197,0.3736724694198318,0.5922771023712601,a14
smee-v2,R2,69,0.3170703763323012,0.10056278950799906,0.3334641382872354,0.14369822079149883,0.5491051451850298,a14
smee-v2,rho,69,0.5630900250690839,0.09057253806582762,0.5709517439579181,0.3796075121436255,0.7367986145771804,a14
v1-k100,RMSE,69,0.7345986172000768,0.08646962539512501,0.728262516847779,0.5656432036228856,0.9043001257032275,a14
